depth,RPM,Flow,WOB,ROP,well
105.68,54.94729175,3.95878,3.81859,12.80415812,A
106.02,54.94729175,3.95723,4.13152,12.80415812,A
106.33,54.94729175,3.94947,10.80726,12.80415812,A
106.66,54.94729175,3.96809,1.98639,12.80415812,A
106.96,54.94729175,3.96806,2.02268,12.80415812,A
107.3,100.58,3.96885,10.80726,12.80415812,A
107.61,109.68,3.95488,4.78912,12.80415812,A
107.95,54.94729175,3.94871,2.85261,12.80415812,A
108.27,92.26,3.94716,11.32426,12.80415812,A
108.57,89.18,3.95488,11.98186,12.80415812,A
108.9,97.19,3.95799,4.68481,12.80415812,A
109.24,87.95,3.94947,0.49887,37.85,A
109.58,71.04,3.95026,7.65986,12.80415812,A
109.95,74.19,3.96185,12.95238,12.80415812,A
110.29,62.71,3.95413,10.80726,12.80415812,A
110.6,68.02,3.95954,10.80726,12.80415812,A
110.91,98.08,3.94481,1.64172,40.79,A
111.23,80.28,3.95795,10.63492,12.80415812,A
111.55,41.31,2.79083,12.41723,23.11,A
111.85,70.26,2.7978,12.14059,15.43,A
112.16,49.12,3.20003,1.4195,32.42,A
112.48,46.87,3.22793,5.74603,29.86,A
112.79,72.99,3.25742,2.24943,10.55,A
113.1,93.46,3.2489,9.20181,38.88,A
113.42,88,3.25587,9.3424,39.13,A
113.72,84.25,3.26594,12.38549,30.02,A
114.03,81.56,3.25894,8.61224,25.24,A
114.36,73.9,3.26053,6.29932,34.08,A
116.12,79.27,3.27211,2.87528,30.48,A
116.5,76.1,3.1347,10.80726,26.52,A
116.81,114.54,3.2263,3.31973,13.09,A
117.13,84.64,3.23172,6.01814,23.75,A
117.45,111.16,3.23713,5.87755,34.21,A
117.77,102.8,3.2232,7.5737,40.71,A
118.08,88.36,3.22241,7.81406,12.80415812,A
118.39,54.94729175,3.2263,1.14286,12.80415812,A
118.7,111.95,3.21313,6.22676,12.80415812,A
119.02,109.6,3.23248,8.3356,42.94,A
119.33,115.34,3.21003,8.23129,12.80415812,A
119.64,100.11,3.22165,6.1542,12.80415812,A
119.95,89.28,3.22861,3.38776,38.5,A
120.27,72.96,3.22861,6.81179,29.08,A
120.59,78.88,3.23017,2.93878,29.38,A
120.9,72.74,3.22861,7.5737,29.23,A
121.21,75.52,3.231,3.80499,37.99,A
121.52,77.11,3.34744,6.22676,31.01,A
121.84,80.98,3.21544,4.08163,28.37,A
122.16,99.2,3.17815,2.5941,20,A
122.47,90.47,3.17895,3.97732,27.91,A
122.79,93.64,3.16888,1.93651,28.49,A
123.11,89.98,3.17195,2.17687,43.83,A
123.43,91.02,3.18512,1.4195,12.80415812,A
123.75,73.78,3.19678,4.97959,45.59,A
124.05,94.41,3.23637,7.05215,23.75,A
124.36,76.04,3.24489,6.12245,38.5,A
124.68,79.64,3.24258,7.02041,43.83,A
124.99,78.75,3.25265,4.87528,32.31,A
125.3,81.93,3.27907,7.33333,39.3,A
125.61,52,3.44071,1.24717,27.72,A
125.93,70.52,3.55476,5.36054,3.89,A
126.24,82.99,3.5509,6.19048,20.35,A
126.56,80.83,3.42481,7.5737,24.81,A
126.87,77.08,3.36818,1.8322,27.05,A
127.19,76.4,3.35736,5.78231,39.35,A
127.5,78.14,3.37901,6.01814,47.4,A
127.83,73.17,3.36512,8.01814,40.1,A
128.14,82.96,3.36201,4.58957,45.64,A
128.46,78.78,3.37829,4.78005,12.80415812,A
